Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,Author,Theme,image,360_image
Apple III - Microsoft BASIC - Reference Manual,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple III - Microsoft BASIC - Reference Manual,,,,"Apple Computer, Inc.",,,"Apple Computer, Inc.",English,1982,,076-0005,,,,,,,,,,2013.07.381,,Keith Moore,2013.07.388.,,,,
Apple III - Standard Device Drivers - Manual,Printed Matter,Manual,Setup,"Apple Computer, Inc.",Apple III - Standard Device Drivers - Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1981,,030-0143-B,,,,,,,,,,2013.07.382,,Keith Moore,,,,,
Apple III - Universal Parallel Interface Card - Installation and Operating Manual,Printed Matter,Manual,Setup,"Apple Computer, Inc.",Apple III - Universal Parallel Interface Card - Installation and Operating Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1981,,030-0255-A,,,,,,,,,,2013.07.383,,Keith Moore,,,,,
Apple III - Apple Writer III - Word Processing Language,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple III - Apple Writer III - Word Processing Language,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1982,,030-0601-A,,,,,,,,,,2013.07.384,,Keith Moore,,,,,
Apple - Imagewriter User’s Manual - Part 1: Reference,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple - Imagewriter User’s Manual - Part 1: Reference,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1984,,030-0730-B,,,,,,,,,,2013.07.385,,Keith Moore,,,,,
Apple III - Will Someone Please Tell Me What an Apple III Can Do? A Guide to Apple III Software,Printed Matter,Manual,Introductory,"Apple Computer, Inc.",Apple III - Will Someone Please Tell Me What an Apple III Can Do? A Guide to Apple III Software,,,,,Apple Computer,,Apple Computer,English,1983,,A3L0038 9/83 50M,,,,,,,,,,2013.07.386,,Keith Moore,,,,,
PCs Made Easy,Printed Matter,Book,Reference,Computer Literacy,PCs Made Easy,,,,,James L. Turley,,Osborne McGraw-Hill,English,1989,, 0-078-81477-4,,,,,,,,,,2013.07.387,,Keith Moore,,,,,
Apple III - Microsoft BASIC - Reference Manual,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple III - Microsoft BASIC - Reference Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1982,,076-0005,,,,,,,,,,2013.07.388,,Keith Moore,2 of 2 duplicate copies.,,,,
"ON THREE - Volume 1, Number 1 - January 1983",Printed Matter,Periodical,Narrow Topic,Apple III,"ON THREE - Volume 1, Number 1 - January 1983",,,,,Bob Consorti,,ON THREE,English,1983,,,,,,,,,,,,2013.07.389,,Keith Moore,,,,,
"ON THREE - Volume 1, Number 2 - February-March 1983",Printed Matter,Periodical,Narrow Topic,Apple III,"ON THREE - Volume 1, Number 2 - February-March 1983",,,,,Bob Consorti,,ON THREE,English,1983,,,,,,,,,,,,2013.07.390,,Keith Moore,,,,,
"ON THREE - Volume 1, Number 3 - April-May 1983",Printed Matter,Periodical,Narrow Topic,Apple III,"ON THREE - Volume 1, Number 3 - April-May 1983",,,,,Bob Consorti,,ON THREE,English,1983,,,,,,,,,,,,2013.07.391,,Keith Moore,,,,,
"ON THREE - Volume 1, Number 4 - June-July 1983",Printed Matter,Periodical,Narrow Topic,Apple III,"ON THREE - Volume 1, Number 4 - June-July 1983",,,,,Bob Consorti,,ON THREE,English,1983,,,,,,,,,,,,2013.07.392,,Keith Moore,,,,,
"ON THREE - Volume 2, Number 1",Printed Matter,Periodical,Narrow Topic,Apple III,"ON THREE - Volume 2, Number 1",,,,,Bob Consorti,,ON THREE,English,1984,,,,,,,,,,,,2013.07.393,,Keith Moore,,,,,
Macintosh - Conflict Catcher 8 - User Guide,Printed Matter,Manual,User,"Apple Computer, Inc.",Macintosh - Conflict Catcher 8 - User Guide,,,,,David Pogue,,Casady & Greene,English,1998,,CC8-164-674-24226,,,,,,,,,,2013.07.395,,James Vermillion,Includes Quick Reference Guide and Troubleshooting Guide. Conflict Catcher 8 created by Jeffrey Robbin.,,,,
Series 100/Wordstar Photocopied Manual Part 2 of 2,Printed Matter,Manual,User,Software,Series 100/Wordstar Photocopied Manual,,,,,Hewlett Packard,,,English,1983,,Manual Part No. 45400-90001,,,,,,,,,,2013.07.4,,Julie Gemmell,Part 2 of 2. Individual papers in manila folders.,,,,
Hewlett Packard Computer Users Catalog - Summer 1987,Printed Matter,Periodical,Catalog,Hewlett Packard,Hewlett Packard Computer Users Catalog - Summer 1987,,,,,,,Hewlett Packard,English,1987,,5/87 5953-2450D,,,,,,,,,,2013.07.485,,Julie Gemmell,,,,,
Hewlett Packard Computer Users Catalog - Summer 1986,Printed Matter,Periodical,Catalog,Hewlett Packard,Hewlett Packard Computer Users Catalog - Summer 1986,,,,,,,Hewlett Packard,English,1986,,6/86 5953-2461D,,,,,,,,,,2013.07.486,,Julie Gemmell,,,,,
Hewlett Packard Computer Users Catalog - Spring/Summer 1985,Printed Matter,Periodical,Catalog,Hewlett Packard,Hewlett Packard Computer Users Catalog - Spring/Summer 1985,,,,,,,Hewlett Packard,English,1985,,4/85 5953-2450D,,,,,,,,,,2013.07.487,,Julie Gemmell,,,,,
The HP Personal Computer Plotters and the HP 150 Personal Computer Graphics Software Guide,Printed Matter,Manual,User,Hewlett Packard,The HP Personal Computer Plotters and the HP 150 Personal Computer Graphics Software Guide,,,,,Hewlett Packard,,,English,1984,,(11)5953-9791 (D),,,,,,,,,,2013.07.488,,Julie Gemmell,,,,,
Series 100/Wordstar Photocopied Manual Part 1 of 2,Printed Matter,Manual,User,Software,Series 100/Wordstar Photocopied Manual,,,,,Hewlett Packard,,,English,1983,,Manual Part No. 45400-90001,,,,,,,,,,2013.07.489,,Julie Gemmell,Part 1 of 2. Individual papers in manila folders.,,,,
Chronic,Printed Matter,Book,Art and Design,Poetry,Chronic,,,,,Deena Larsen,,,English,2012,,,,,,,,,,,,2013.07.491,,Deena Larsen,Color copies on loose paper in envelope.,,,,
"MacBug for the Merely Geeky, Part One",Printed Matter,Ephemera,User Generated,Printout,"MacBug for the Merely Geeky, Part One",,,,,Geoff Duncan <geoff@tidbits.com>,,,English,2001,,http:/db.tidbits.com/getbits.acgi?tbart=05118,,,,,,,,,,2013.07.499,,James Vermillion,,,,,
Macintosh Hardware System Update 2.0,Printed Matter,Manual,User,"Apple Computer, Inc.",Macintosh Hardware System Update 2.0,,,,,,,,English,,,,,,,,,,,,,2013.07.511,,James Vermillion,please insert the disk Hardware System Update 2.0”,,,,
Welcome to the Multimedia Starter CD-ROM,Printed Matter,Manual,Introductory,Software,Welcome to the Multimedia Starter CD-ROM,,,,,,,,English,,,,,,,,,,,,,2013.07.512,,James Vermillion,Printed loose leaf stapled papers.,,,,
Apple - AppleCD 300i Plus - User’s Guide,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple - AppleCD 300i Plus - User’s Guide,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1994,,030-6133-A,,,,,,,,,,2013.07.513,,James Vermillion,,,,,
Apple - AppleCD 300e Plus - User’s Guide,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple - AppleCD 300e Plus - User’s Guide,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1994,,030-5364-A,,,,,,,,,,2013.07.514,,James Vermillion,,,,,
"Power Macintosh User’s Guide: Includes Setup, troubleshooting, and important health-related information for Power Macintosh 6100 series computers",Printed Matter,Manual,Setup,"Apple Computer, Inc.","Power Macintosh User’s Guide: Includes Setup, troubleshooting, and important health-related information for Power Macintosh 6100 series computers",,,,,Apple,,,English,,,030-5858-A,,,,,,,,,,2013.07.515,,James Vermillion,,,,,
Technical Information: Specifications for the Power Macintosh 6100/66 and the Power Macintosh 6100/66AV,Printed Matter,Manual,User,"Apple Computer, Inc.",Specifications for the Power Macintosh 6100/66 and the Power Macintosh 6100/66AV,,,,"Apple Computer, Inc.",,,,English,,,030-6551-A,,,,,,,,,,2013.07.516,,James Vermillion,,,,,
Logitech Mouse/Trackball Setup,Printed Matter,Manual,Setup,Peripherals,Logitech Mouse/Trackball Setup,,,,Logitech,,,,English,,,,,,,,,,,,,2013.07.518,,James Vermillion,,,,,
Danny Goodman’s JavaScript Handbook,Printed Matter,Book,Reference,Programming,Danny Goodman’s JavaScript Handbook,,,,,Danny Goodman,,IDG Books Worldwide,English,1996,, 0-7645-3003-8,,,,,,,,,,2013.07.550,,,Bonus CD-ROM included.,,,,
Computer Programs for Literary Analysis,Printed Matter,Book,Reference,Computing in the Humanities,Computer Programs for Literary Analysis,,,,,John R. Abercrombie,,U of Pennsylvania P,English,1984,, 0-8122-1177-4,,,,,,,,,,2013.07.554,,,,,,,
Core Memory: A Visual Survey of Vintage Computers,Printed Matter,Book,Art and Design,Photo Book,Core Memory: A Visual Survey of Vintage Computers,,,,,John Alderman,,Chronicle Books,English,2007,, 0-8118-5442-6,,,,,,,,,,2013.07.555,,,Photographs by Mark Richards. Featuring Machines from the Computer History Museum.,,,,
Advances in Computer-aided Literary and Linguistic Research,Printed Matter,Book,Academic,Conference Proceedings,Advances in Computer-aided Literary and Linguistic Research,,,,,,,The University of Aston in Birmingham,English,1979,, 0-903807-64-5,,,,,,,,,,2013.07.556,,,,,,,
